Price,Route,Source,Airline,Dep_Time,Duration,Destination,Total_Stops,Arrival_Time,Additional_Info,Date_of_Journey
19828,DEL → BOM → COK,Delhi,Jet Airways,09:55,18h 30m,Cochin,1 stop,04:25 04 Mar,No info,3/03/2019
10262,DEL → BOM → COK,Delhi,Jet Airways,09:00,27h 35m,Cochin,1 stop,12:35 02 Jun,In-flight meal not included,1/06/2019
2050,BOM → HYD,Mumbai,Air India,21:05,1h 20m,Unknown_6,non-stop,22:25,No info,3/04/2019
4174,CCU → BLR,Kolkata,IndiGo,11:30,2h 35m,Banglore,non-stop,14:05,No info,6/04/2019
13067,CCU → DEL → BLR,Kolkata,Jet Airways,09:35,28h 50m,Unknown_6,1 stop,14:25 19 May,No info,18/05/2019
4823,BLR → DEL,Banglore,IndiGo,08:30,2h 50m,Delhi,non-stop,11:20,No info,1/04/2019
8277,DEL → BLR → COK,Delhi,Air India,17:40,5h 20m,Cochin,1 stop,23:00,No info,18/05/2019
3847,CCU → BLR,Kolkata,SpiceJet,09:00,2h 30m,Banglore,non-stop,11:30,No info,15/03/2019
6017,DEL → BOM → COK,Delhi,Jet Airways,15:05,13h 20m,Cochin,1 stop,04:25 28 Mar,In-flight meal not included,27/03/2019
16079,DEL → BOM → COK,Delhi,Jet Airways,22:50,20h 10m,Cochin,1 stop,19:00 28 May,No info,27/05/2019
2227,BOM → HYD,Mumbai,IndiGo,20:05,1h 35m,Hyderabad,non-stop,21:40,No info,24/06/2019
6163,BLR → BDQ → DEL,Banglore,Jet Airways,05:50,6h 30m,New Delhi,1 stop,12:20,In-flight meal not included,31-31-2025
25735,BLR → BOM → DEL,Banglore,Jet Airways,22:50,21h 30m,New Delhi,1 stop,20:20 02 Mar,No info,01/03/2019
10262,DEL → BOM → COK,Delhi,Jet Airways,19:15,9h 10m,Cochin,1 stop,04:25 02 Jun,In-flight meal not included,1/06/2019
15147,DEL → BOM → COK,Delhi,Multiple carriers,08:55,6h 35m,Cochin,1 stop,15:30,No info,6/03/2019
2017,BOM → HYD,Mumbai,SpiceJet,13:15,1h 30m,Hyderabad,non-stop,14:45,No info,21/05/2019
