Airline,Date_of_Journey,Source,Destination,Route,Dep_Time,Arrival_Time,Duration,Total_Stops,Additional_Info,Price
Vistara,01/03/2019,Banglore,Unknown_2,BLR → DEL,21:10,00:05 02 Mar,2h 55m,non-stop,No info,21730.0
Jet Airways,21/03/2019,Delhi,Cochin,DEL → JAI → BOM → COK,05:30,18:50 22 Mar,37h 20m,2 stops,No info,12341.0
Jet Airways,24/06/2019,Delhi,Cochin,DEL → BOM → COK,16:00,19:00 25 Jun,27h,1 stop,In-flight meal not included,10262.0
Multiple carriers,9/05/2019,Delhi,Cochin,DEL → BOM → COK,10:00,01:30 10 May,15h 30m,1 stop,No info,15078.0
IndiGo,9/06/2019,Delhi,Cochin,DEL → BOM → COK,20:25,01:30 10 Jun,5h 5m,1 stop,No info,5458.0
Air Asia,9/05/2019,Kolkata,Banglore,CCU → BBI → BLR,19:55,23:30,3h 35m,1 stop,No info,
Jet Airways,24/06/2019,Delhi,Cochin,DEL → JAI → BOM → COK,05:30,04:25 25 Jun,22h 55m,2 stops,No info,13014.0
Air India,24/06/2019,Chennai,Kolkata,MAA → CCU,11:40,13:55,2h 15m,non-stop,No info,4667.0
IndiGo,3/05/2019,Mumbai,,BOM → HYD,21:20,22:50,1h 30m,non-stop,No info,2437.0
IndiGo,3/06/2019,Delhi,Cochin,DEL → BLR → COK,02:00,07:45,5h 45m,1 stop,No info,6386.0
Air India,27/06/2019,Delhi,Cochin,DEL → BOM → COK,13:00,19:15,6h 15m,1 stop,No info,8372.0
IndiGo,3/03/2019,Delhi,Cochin,DEL → HYD → COK,07:35,22:20,14h 45m,1 stop,No info,11600.0
Vistara,27/06/2019,Banglore,Delhi,BLR → DEL,17:00,19:35,2h 35m,non-stop,No info,4878.0
Jet Airways,15/05/2019,Kolkata,Banglore,CCU → DEL → BLR,09:35,22:05,12h 30m,1 stop,In-flight meal not included,10703.0
Multiple carriers,3/06/2019,Delhi,Unknown_2,DEL → BOM → COK,07:30,19:00,11h 30m,1 stop,No info,
Jet Airways,1/05/2019,Kolkata,Banglore,CCU → BOM → BLR,14:05,22:35,8h 30m,1 stop,No info,14781.0
Jet Airways,12/03/2019,Banglore,New Delhi,BLR → BOM → DEL,16:55,23:00,6h 5m,1 stop,In-flight meal not included,11087.0
Jet Airways,9/06/2019,Delhi,Unknown_2,DEL → BOM → COK,20:55,04:25 10 Jun,7h 30m,1 stop,In-flight meal not included,10577.0
Air India,21/03/2019,Delhi,Cochin,DEL → CCU → BOM → COK,06:50,07:40 22 Mar,24h 50m,2 stops,No info,11071.0
GoAir,01/03/2019,Banglore,New Delhi,BLR → DEL,11:40,14:35,2h 55m,non-stop,No info,11111.0
IndiGo,18/04/2019,Banglore,Delhi,BLR → DEL,01:30,04:15,2h 45m,non-stop,No info,4591.0
Multiple carriers,27/06/2019,Delhi,Cochin,DEL → HYD → COK,07:10,16:10,9h,1 stop,In-flight meal not included,6093.0
Jet Airways,1/06/2019,Delhi,Cochin,DEL → BOM → COK,21:50,04:25 02 Jun,6h 35m,1 stop,In-flight meal not included,10262.0
Air India,6/05/2019,Delhi,Cochin,DEL → MAA → COK,20:40,09:25 07 May,12h 45m,1 stop,No info,7480.0
Jet Airways,21/03/2019,Banglore,New Delhi,BLR → BOM → DEL,08:00,23:00,15h,1 stop,In-flight meal not included,7832.0
Air India,9/06/2019,Delhi,Cochin,DEL → COK,18:05,21:10,3h 5m,non-stop,No info,8456.0
IndiGo,21/03/2019,Banglore,New Delhi,BLR → DEL,16:55,19:45,2h 50m,non-stop,No info,
Air Asia,24/06/2019,Delhi,Cochin,DEL → BLR → COK,20:45,06:35 25 Jun,9h 50m,1 stop,No info,6152.0
