Airline,Date_of_Journey,Source,Destination,Route,Dep_Time,Arrival_Time,Duration,Total_Stops,Additional_Info,Price
Jet Airways,12/06/2019,Kolkata,Banglore,CCU → DEL → BLR,09:35,09:45 13 Jun,24h 10m,1 stop,No info,12692
Jet Airways,27/05/2019,Banglore,Delhi,BLR → DEL,15:15,18:10,2h 55m,non-stop,No info,7229
Jet Airways,9/05/2019,Kolkata,Banglore,CCU → BOM → BLR,08:25,18:15,9h 50m,1 stop,No info,14781
Jet Airways,21/03/2019,Delhi,Cochin,DEL → BOM → COK,19:15,18:50 22 Mar,23h 35m,1 stop,No info,12347
IndiGo,1/05/2019,Kolkata,Banglore,CCU → BLR,11:30,14:05,2h 35m,non-stop,No info,5644
Jet Airways,24/04/2019,Banglore,Delhi,BLR → DEL,17:45,20:45,3h,non-stop,In-flight meal not included,4544
Jet Airways,6/05/2019,Kolkata,Banglore,CCU → BOM → BLR,16:30,20:45 07 May,28h 15m,1 stop,In-flight meal not included,9663
Jet Airways,12/06/2019,Delhi,Cochin,DEL → BOM → COK,21:50,04:25 13 Jun,6h 35m,1 stop,No info,14714
Multiple carriers,3/06/2019,Delhi,Cochin,DEL → HYD → COK,09:45,16:10,6h 25m,1 stop,No info,9646
Jet Airways,21/03/2019,Delhi,Cochin,DEL → BOM → COK,08:00,04:25 22 Mar,20h 25m,1 stop,In-flight meal not included,6540
Jet Airways,3/04/2019,Delhi,Cochin,DEL → BOM → COK,02:15,19:00,16h 45m,1 stop,In-flight meal not included,4757
IndiGo,9/05/2019,Kolkata,Banglore,CCU → PNQ → BLR,21:00,02:15 10 May,5h 15m,1 stop,No info,7605
Jet Airways,27/06/2019,Banglore,Delhi,BLR → DEL,07:10,10:10,3h,non-stop,No info,8016
SpiceJet,24/06/2019,Kolkata,Banglore,CCU → BLR,17:10,19:40,2h 30m,non-stop,No check-in baggage included,3841
Jet Airways,9/06/2019, Delhi ,Cochin,DEL → BOM → COK,21:50,12:35 10 Jun,14h 45m,1 stop,In-flight meal not included,10262
IndiGo,27/05/2019,Chennai,Kolkata,MAA → CCU,13:15,15:35,2h 20m,non-stop,No info,3597
Jet Airways,6/05/2019,Kolkata,Banglore,CCU → BOM → BLR,20:00,12:00 07 May,16h,1 stop,In-flight meal not included,9663
IndiGo,27/05/2019,Banglore,Delhi,BLR → DEL,01:30,04:15,2h 45m,non-stop,No info,3419
SpiceJet,21/03/2019,Kolkata,Banglore,CCU → BLR,09:00,11:30,2h 30m,non-stop,No check-in baggage included,3815
Jet Airways,12/05/2019,Kolkata,Banglore,CCU → DEL → BLR,20:25,23:35 13 May,27h 10m,1 stop,In-flight meal not included,8066
Air India,24/06/2019,Delhi,Cochin,DEL → BOM → COK,13:00,19:15,6h 15m,1 stop,No info,8372
