Airline,Date_of_Journey,Source,Destination,Route,Dep_Time,Arrival_Time,Duration,Total_Stops,Additional_Info,Price
Jet Airways,21/05/2019,Delhi,Cochin,DEL → BOM → COK,21:50,19:00 22 May,21h 10m,1 stop,No info,16079
Jet Airways,21/03/2019,Banglore,New Delhi,BLR → BOM → DEL,11:40,07:40 19 Mar,20h,1 stop,In-flight meal not included,7832
Multiple carriers,21/03/2019,Delhi,Cochin,DEL → BOM → COK,17:30,01:35 22 Mar,8h 5m,1 stop,No info,13542
,6/03/2019,Mumbai,Hyderabad,BOM → DEL → HYD,20:55,16:45 07 Mar,19h 50m,1 stop,No info,12395
Air India,01/03/2019,Banglore,New Delhi,BLR → BBI → DEL,09:30,12:05 02 Mar,26h 35m,1 stop,No info,12704
IndiGo,3/04/2019,Mumbai,Hyderabad,BOM → HYD,02:35,04:05,1h 30m,non-stop,No info,2754
Air India,21/06/2019,Delhi,Cochin,DEL → COK,14:10,17:10,3h,non-stop,No info,-41
IndiGo,6/05/2019,Mumbai,Hyderabad,BOM → HYD,02:35,04:05,1h 30m,non-stop,No info,3342
IndiGo,31-31-2025,Kolkata,Banglore,CCU → NAG → BLR,18:05,23:30,5h 25m,1 stop,No info,6284
,21/05/2019,Delhi,Cochin,DEL → JAI → BOM → COK,19:30,04:25 22 May,8h 55m,2 stops,In-flight meal not included,13029
Air India,24/05/2019,Mumbai,Hyderabad,BOM → HYD,06:20,07:40,1h 20m,NotANumber,No info,3100
Jet Airways,6/05/2019,Kolkata,Banglore,CCU → DEL → BLR,20:25,19:10 07 May,22h 45m,1 stop,No info,13067
IndiGo,18/06/2019,Chennai,Kolkata,MAA → CCU,11:35,14:00,2h 25m,non-stop,No info,3858
SpiceJet,15/06/2019,Kolkata,Banglore,CCU → BLR,09:00,11:25,2h 25m,non-stop,No check-in baggage included,3841
Jet Airways,18/05/2019,Delhi,Cochin,DEL → JAI → BOM → COK,09:40,12:35 19 May,26h 55m,2 stops,In-flight meal not included,13029
,24/05/2019,Kolkata,Banglore,CCU → PAT → BLR,09:20,14:15,4h 55m,1 stop,No info,-23
,21/05/2019,Delhi,Cochin,DEL → PNQ → COK,23:30,04:35 22 May,5h 5m,1 stop,No info,8745
,12/03/2019,Kolkata,Banglore,CCU → BLR,14:20,16:55,2h 35m,non-stop,No info,4148
Jet Airways,1/06/2019,Delhi,Cochin,DEL → BOM → COK,19:15,12:35 02 Jun,17h 20m,1 stop,In-flight meal not included,10262
,12/04/2019,Kolkata,Banglore,CCU → BLR,06:55,09:30,2h 35m,non-stop,No info,3873
Air India,27/05/2019,Delhi,Cochin,DEL → CCU → BOM → COK,06:50,07:40 28 May,24h 50m,2 stops,No info,16163
,27/06/2019,Kolkata,Banglore,CCU → BLR,20:25,23:10,2h 45m,non-stop,No info,4804
Jet Airways,12/05/2019,Kolkata,Banglore,CCU → DEL → BLR,09:35,10:55 13 May,25h 20m,1 stop,No info,14151
Air India,12/05/2019,Kolkata,Banglore,CCU → BBI → BOM → BLR,12:00,07:55 13 May,19h 55m,2 stops,No info,10676
Jet Airways,24/06/2019,Delhi,Cochin,DEL → ATQ → BOM → COK,20:00,04:25 25 Jun,8h 25m,2 stops,No info,14300
Jet Airways,9/06/2019,Banglore,Delhi,BLR → DEL,08:20,11:20,3h,non-stop,No info,8016
Vistara,6/03/2019,Mumbai,Hyderabad,BOM → DEL → HYD,20:55,22:55 07 Mar,26h,1 stop,No info,12395
IndiGo,15/06/2019,Banglore,Delhi,BLR → DEL,23:30,02:20 16 Jun,2h 50m,NotANumber,No info,4077
Jet Airways,24/04/2019,Banglore,Delhi,BLR → DEL,17:45,20:45,3h,non-stop,No info,7229
IndiGo,21/05/2019,Mumbai,Hyderabad,BOM → HYD,21:20,22:50,1h 30m,NotANumber,No info,2227
Jet Airways,15/03/2019,Mumbai,Hyderabad,BOM → HYD,15:50,17:20,1h 30m,non-stop,No info,5678
Jet Airways,1/04/2019,Mumbai,Hyderabad,BOM → HYD,10:20,11:50,1h 30m,non-stop,No info,8040
Jet Airways,21/03/2019,Delhi,Cochin,DEL → AMD → BOM → COK,19:10,04:25 23 Mar,33h 15m,2 stops,No info,10929
Air India,24/06/2019,Delhi,Cochin,DEL → JDH → BOM → COK,12:55,19:15 25 Jun,30h 20m,2 stops,No info,12436
,6/04/2019,Banglore,Delhi,BLR → DEL,21:10,00:05 07 Apr,2h 55m,non-stop,No info,3971
Jet Airways,12/06/2019,Delhi,Cochin,DEL → BOM → COK,21:50,12:35 13 Jun,14h 45m,1 stop,In-flight meal not included,10262
Jet Airways,21/05/2019,Delhi,Cochin,DEL → BOM → COK,19:45,19:00 22 May,23h 15m,1 stop,In-flight meal not included,12898
IndiGo,03/03/2019,Banglore,New Delhi,BLR → DEL,16:55,19:45,2h 50m,non-stop,No info,8855
Multiple carriers,3/03/2019,Delhi,Cochin,DEL → HYD → COK,13:05,22:20,9h 15m,1 stop,No info,14153
Vistara,9/06/2019,Banglore,Delhi,BLR → DEL,19:30,22:15,2h 45m,non-stop,No info,4878
Air India,31-31-2025,Delhi,Cochin,DEL → JAI → BOM → COK,12:00,07:40 13 Jun,19h 40m,2 stops,No info,8603
Jet Airways,6/06/2019,Kolkata,Banglore,CCU → GAU → BLR,10:20,17:35,7h 15m,1 stop,No info,11316
,9/03/2019,Delhi,Cochin,DEL → IXU → BOM → COK,17:50,01:35 10 Mar,7h 45m,2 stops,No info,23583
IndiGo,3/05/2019,Kolkata,Banglore,CCU → BLR,17:15,19:50,2h 35m,non-stop,No info,4804
IndiGo,12/05/2019,Banglore,Delhi,BLR → DEL,01:30,04:15,2h 45m,non-stop,No info,3943
IndiGo,21/03/2019,Delhi,Cochin,DEL → HYD → COK,14:20,22:20,8h,1 stop,No info,6528
Jet Airways,6/05/2019,Banglore,Delhi,BLR → DEL,08:20,11:20,3h,non-stop,No info,7229
,15/05/2019,Kolkata,Banglore,CCU → BOM → BLR,20:00,10:05 16 May,14h 5m,1 stop,In-flight meal not included,8586
Jet Airways,15/06/2019,Banglore,Delhi,BLR → DEL,15:15,18:10,2h 55m,non-stop,No info,8016
Multiple carriers,21/05/2019,Delhi,Cochin,DEL → BOM → COK,07:05,19:15,12h 10m,1 stop,In-flight meal not included,10711
