Airline,Date_of_Journey,Source,Destination,Route,Dep_Time,Arrival_Time,Duration,Total_Stops,Additional_Info,Price
Jet Airways,3/06/2019,Delhi,,DEL → BOM → COK,20:55,04:25 04 Jun,7h 30m,1 stop,In-flight meal not included,10262
 Multiple carriers ,1/06/2019,Delhi,Cochin,DEL → HYD → COK,14:55,22:30,7h 35m,1 stop,No info,7038
Air India,15/05/2019,Kolkata,Banglore,CCU → DEL → COK → BLR,10:00,13:45 16 May,27h 45m,2 stops,No info,16057
SpiceJet,24/06/2019,Kolkata,Banglore,CCU → BLR,06:55,09:30,2h 35m,non-stop,No info,-61
Jet Airways,12/03/2019,Banglore,New Delhi,BLR → BOM → DEL,22:55,18:25 13 Mar,19h 30m,1 stop,In-flight meal not included,11087
Air India,6/06/2019,Delhi,Cochin,DEL → MAA → COK,06:05,09:25 07 Jun,27h 20m,1 stop,No info,7952
IndiGo,6/04/2019,Kolkata,Banglore,CCU → BLR,15:15,17:45,2h 30m,non-stop,No info,4174
GoAir,24/04/2019,Delhi,Cochin,DEL → BOM → COK,07:00,12:55,5h 55m,1 stop,No info,6195
Jet Airways,9/06/2019,Kolkata,Banglore,CCU → BOM → BLR,21:10,23:35 10 Jun,26h 25m,1 stop,In-flight meal not included,10844
IndiGo,18/04/2019,Banglore,Delhi,BLR → DEL,23:30,02:20 19 Apr,2h 50m,non-stop,No info,4591
Air India,6/04/2019,Kolkata,Banglore,CCU → BLR,20:45,23:20,2h 35m,non-stop,No info,-20
Multiple carriers,24/06/2019,Delhi,Cochin,DEL → BOM → COK,08:00,21:00,13h,1 stop,No info,13797
Air India,21/03/2019,Banglore,New Delhi,BLR → MAA → DEL,11:50,23:55,12h 5m,1 stop,No info,5092
Air India,15/03/2019,Banglore,New Delhi,BLR → COK → DEL,22:00,13:20 16 Mar,15h 20m,NotANumber,No info,8845
Jet Airways,21/03/2019,Delhi,Cochin,DEL → BOM → COK,11:30,18:50,7h 20m,1 stop,No info,13244
Multiple carriers,27/06/2019,Delhi,Cochin,DEL → BOM → COK,07:05,21:00,13h 55m,1 stop,No info,13587
Air India,15/03/2019,Banglore,New Delhi,BLR → CCU → BBI → DEL,05:50,16:20,10h 30m,2 stops,No info,7664
Jet Airways,15/05/2019,Kolkata,Banglore,CCU → DEL → BLR,17:00,22:05 16 May,29h 5m,1 stop,No info,14151
IndiGo,6/06/2019,Delhi,Cochin,DEL → BOM → COK,16:00,01:30 07 Jun,9h 30m,1 stop,No info,6316
Air India,24/06/2019,Delhi,Cochin,DEL → CCU → BOM → COK,14:25,19:15 25 Jun,28h 50m,2 stops,No info,13381
Multiple carriers,15/05/2019,Delhi,Cochin,DEL → BOM → COK,11:40,19:15,7h 35m,1 stop,No info,9001
IndiGo,01/03/2019,Banglore,New Delhi,BLR → DEL,18:55,21:45,2h 50m,non-stop,No info,14306
Multiple carriers,15/05/2019,Delhi,Cochin,DEL → BOM → COK,11:30,01:30 16 May,14h,1 stop,No info,13727
Vistara,21/05/2019,Chennai,Kolkata,MAA → CCU,07:05,09:20,2h 15m,non-stop,No info,3687
Jet Airways,24/06/2019,Delhi,Cochin,DEL → JAI → BOM → COK,05:30,19:00,13h 30m,2 stops,In-flight meal not included,10368
Air India,24/03/2019,Banglore,New Delhi,BLR → DEL,17:00,19:45,2h 45m,non-stop,No info,7486
Jet Airways,1/06/2019,Delhi,Cochin,DEL → JAI → BOM → COK,09:40,04:25 02 Jun,18h 45m,2 stops,No info,13014
Air India,1/06/2019,Banglore,Delhi,BLR → DEL,17:00,19:45,2h 45m,non-stop,No info,-20
 Jet Airways ,27/05/2019,Delhi,Cochin,DEL → BOM → COK,11:30,12:35 28 May,25h 5m,1 stop,In-flight meal not included,12898
Jet Airways,21/05/2019,Delhi,Cochin,DEL → BOM → COK,11:30,19:00,7h 30m,1 stop,No info,16079
Air India,3/06/2019,Delhi,Cochin,DEL → CCU → BOM → COK,06:50,07:40 04 Jun,24h 50m,2 stops,No info,13381
IndiGo,18/05/2019,Delhi,Cochin,DEL → HYD → COK,07:35,16:10,8h 35m,NotANumber,No info,6442
Air India,01/03/2019,Banglore,New Delhi,BLR → HYD → VGA → DEL,17:00,22:55 02 Mar,29h 55m,2 stops,No info,14887
Jet Airways,24/03/2019,Mumbai,Hyderabad,BOM → HYD,15:50,17:20,1h 30m,non-stop,In-flight meal not included,2228
Jet Airways,12/06/2019,Delhi,Cochin,DEL → BOM → COK,17:30,19:00 13 Jun,25h 30m,1 stop,In-flight meal not included,10262
Air India,27/06/2019,Kolkata,Banglore,CCU → BLR,20:45,23:20,2h 35m,non-stop,No info,4145
Jet Airways,18/05/2019,Kolkata,Banglore,CCU → DEL → BLR,20:25,14:25 19 May,18h,1 stop,No info,13067
Jet Airways,3/03/2019,Mumbai,Hyderabad,BOM → HYD,07:10,08:35,1h 25m,non-stop,No info,5678
SpiceJet,21/05/2019,Banglore,,BLR → DEL,05:55,08:35,2h 40m,non-stop,No check-in baggage included,3257
SpiceJet,24/05/2019,Chennai,Kolkata,MAA → CCU,09:45,12:00,2h 15m,non-stop,No check-in baggage included,3543
Jet Airways,18/06/2019,Banglore,Delhi,BLR → DEL,19:50,22:50,3h,non-stop,No info,8016
SpiceJet,15/06/2019,Chennai,Kolkata,MAA → CCU,08:20,10:35,2h 15m,non-stop,No info,3597
Jet Airways,3/03/2019,Unknown_5,Cochin,DEL → BOM → COK,18:15,18:50 04 Mar,24h 35m,1 stop,No info,17234
Air India,1/06/2019,Delhi,Cochin,DEL → BOM → COK,10:00,19:15,9h 15m,1 stop,No info,9929
