Airline,Date_of_Journey,Source,Destination,Route,Dep_Time,Arrival_Time,Duration,Total_Stops,Additional_Info,Price
Jet Airways,24/05/2019,Kolkata,Banglore,CCU → DEL → BLR,20:25,14:25 25 May,18h,1 stop,In-flight meal not included,10703
Air Asia,18/04/2019,Banglore,Delhi,BLR → DEL,04:55,07:45,2h 50m,non-stop,No info,4282
Air India,15/05/2019,Kolkata,Banglore,CCU → BOM → HBX → BLR,09:25,18:20,8h 55m,2 stops,No info,8366
Jet Airways,6/06/2019,Mumbai,Hyderabad,BOM → HYD,02:55,04:20,1h 25m,non-stop,In-flight meal not included,4050
Jet Airways,01/03/2019,,New Delhi,BLR → BOM → DEL,16:55,23:00,6h 5m,1 stop,No info,54826
IndiGo,6/06/2019,Kolkata,Banglore,CCU → BLR,22:15,00:50 07 Jun,2h 35m,non-stop,No info,4804
Multiple carriers,24/05/2019,Delhi,Cochin,DEL → BOM → COK,09:00,19:00,10h,1 stop,No info,10197
IndiGo,27/05/2019,Banglore,Delhi,BLR → DEL,23:30,02:20 28 May,2h 50m,non-stop,No info,3943
Jet Airways,1/04/2019,Kolkata,Banglore,CCU → BOM → BLR,14:05,23:35,9h 30m,1 stop,No info,13364
Vistara,6/05/2019,Kolkata,Banglore,CCU → DEL → BLR,07:10,18:50,11h 40m,1 stop,No info,8610
Unknown_3,3/06/2019,,Banglore,CCU → BLR,20:45,23:20,2h 35m,non-stop,No info,4145
Jet Airways,15/05/2019,,Banglore,CCU → BOM → BLR,08:25,18:15,9h 50m,1 stop,No info,14781
Jet Airways,9/05/2019,Kolkata,Banglore,CCU → BOM → BLR,16:30,04:40 10 May,12h 10m,1 stop,In-flight meal not included,10844
Air India,27/06/2019,Delhi,Cochin,DEL → HYD → MAA → COK,13:15,09:25 28 Jun,20h 10m,2 stops,No info,8839
Unknown_3,6/04/2019,Banglore,Delhi,BLR → DEL,07:10,10:10,3h,non-stop,No info,7229
Air India,6/03/2019,Mumbai,Hyderabad,BOM → AMD → ISK → HYD,05:30,14:50,9h 20m,2 stops,No info,13757
SpiceJet,21/04/2019,Delhi,Cochin,DEL → PNQ → COK,08:45,13:15,4h 30m,1 stop,No check-in baggage included,6356
GoAir,6/04/2019,Delhi,Cochin,DEL → BOM → COK,10:35,19:35,9h,1 stop,No info,5135
SpiceJet,24/03/2019,Kolkata,Banglore,CCU → BLR,22:20,00:40 25 Mar,2h 20m,non-stop,No info,5831
Multiple carriers,27/03/2019,Delhi,Cochin,DEL → BOM → COK,07:30,19:15,11h 45m,1 stop,No info,8371
Jet Airways,6/05/2019,,Delhi,BLR → DEL,06:00,08:45,2h 45m,non-stop,No info,7229
Jet Airways,24/05/2019,Kolkata,Banglore,CCU → BOM → BLR,18:55,12:00 25 May,17h 5m,1 stop,No info,14571
SpiceJet,3/04/2019,,Banglore,CCU → BLR,22:20,00:40 04 Apr,2h 20m,non-stop,No info,3873
Jet Airways,12/06/2019,Delhi,Cochin,DEL → JAI → BOM → COK,19:30,04:25 13 Jun,8h 55m,2 stops,In-flight meal not included,10368
Air India,15/06/2019,Delhi,Cochin,DEL → CCU → BOM → COK,20:15,19:15 16 Jun,23h,2 stops,No info,13591
Jet Airways,9/05/2019,,Banglore,CCU → DEL → BLR,17:00,14:25 10 May,21h 25m,1 stop,In-flight meal not included,9314
IndiGo,1/05/2019,Banglore,Delhi,BLR → DEL,07:10,10:05,2h 55m,non-stop,No info,4823
Vistara,24/06/2019,Delhi,Cochin,DEL → COK,14:40,17:50,3h 10m,non-stop,No info,6216
Jet Airways,27/04/2019,Banglore,Delhi,BLR → DEL,15:15,18:10,2h 55m,non-stop,In-flight meal not included,4544
Multiple carriers,21/05/2019,Delhi,Cochin,DEL → BOM → COK,09:00,19:15,10h 15m,1 stop,No info,14848
Jet Airways,6/06/2019,Delhi,Cochin,DEL → JAI → BOM → COK,09:40,19:00,9h 20m,2 stops,In-flight meal not included,10368
Multiple carriers,27/06/2019,Delhi,Cochin,DEL → BOM → COK,19:00,01:30 28 Jun,6h 30m,1 stop,No info,7198
Jet Airways,12/03/2019,,New Delhi,BLR → BOM → DEL,20:35,20:20 13 Mar,23h 45m,,In-flight meal not included,11087
Jet Airways,27/03/2019,Delhi,Cochin,DEL → BOM → COK,16:00,04:25 28 Mar,12h 25m,1 stop,No info,12242
Jet Airways,1/04/2019,Banglore,Delhi,BLR → DEL,11:10,14:05,2h 55m,non-stop,No info,7229
Jet Airways,3/06/2019,Banglore,Delhi,BLR → DEL,06:00,08:45,2h 45m,non-stop,In-flight meal not included,5769
IndiGo,6/06/2019,Delhi,Cochin,DEL → BOM → COK,09:15,01:30 07 Jun,16h 15m,1 stop,No info,6628
Jet Airways,1/05/2019,,Banglore,CCU → BOM → BLR,14:05,09:20 02 May,19h 15m,1 stop,In-flight meal not included,9663
Jet Airways,3/04/2019, Mumbai ,Hyderabad,BOM → HYD,10:20,11:50,1h 30m,non-stop,No info,8040
Jet Airways,21/03/2019,Delhi,Cochin,DEL → BDQ → BOM → COK,10:45,18:50,8h 5m,2 stops,No info,11360
IndiGo,12/06/2019,,Banglore,CCU → BLR,11:30,14:05,2h 35m,non-stop,No info,4804
Jet Airways,21/05/2019,Delhi,Cochin,DEL → BOM → COK,14:00,19:00,5h,1 stop,No info,16079
Air India,27/05/2019,Delhi,Cochin,DEL → COK,05:10,08:00,2h 50m,non-stop,No info,6094
Air India,24/06/2019,Delhi,Cochin,DEL → AMD → BOM → COK,16:40,19:15 25 Jun,26h 35m,-64,No info,9443
IndiGo,27/06/2019,Delhi,Cochin,DEL → HYD → COK,07:35,16:10,8h 35m,1 stop,No info,6442
IndiGo,15/05/2019,Banglore,Delhi,BLR → DEL,07:10,10:05,2h 55m,non-stop,No info,4823
Air India,15/05/2019,Delhi,Cochin,DEL → HYD → MAA → COK,07:05,09:25 16 May,26h 20m,-18,No info,10975
Unknown_3,21/05/2019,Kolkata,Banglore,CCU → BOM → BLR,21:10,09:20 22 May,12h 10m,,No info,14781
Air India,21/03/2019,Delhi,Cochin,DEL → MAA → COK,09:45,09:25 22 Mar,23h 40m,1 stop,No info,7532
Jet Airways,6/06/2019,Mumbai,Hyderabad,BOM → HYD,19:35,21:05,1h 30m,non-stop,In-flight meal not included,3210
SpiceJet,21/03/2019, Chennai ,Kolkata,MAA → CCU,09:30,12:05,2h 35m,non-stop,No check-in baggage included,3332
Multiple carriers,18/05/2019,Delhi,Cochin,DEL → BOM → COK,03:50,12:35,8h 45m,1 stop,No info,10197
GoAir,15/03/2019,Banglore,New Delhi,BLR → DEL,07:45,10:40,2h 55m,non-stop,No info,5706
IndiGo,1/03/2019,Chennai,Kolkata,MAA → CCU,11:35,14:00,2h 25m,non-stop,No info,7900
Jet Airways,12/06/2019,Kolkata,Banglore,CCU → BOM → BLR,20:00,16:20 13 Jun,20h 20m,1 stop,In-flight meal not included,8529
IndiGo,12/06/2019,Delhi,Cochin,DEL → BOM → COK,20:25,01:30 13 Jun,5h 5m,1 stop,No info,5058
Jet Airways,12/06/2019,Kolkata,Banglore,CCU → BOM → BLR,14:05,19:50,5h 45m,1 stop,In-flight meal not included,9899
Jet Airways,1/04/2019,Kolkata,Banglore,CCU → BOM → BLR,08:25,22:35,14h 10m,-41,In-flight meal not included,7064
Jet Airways,21/03/2019,Delhi,Cochin,DEL → BOM → COK,19:45,18:50 22 Mar,23h 5m,1 stop,No info,12347
Unknown_3,1/05/2019,Kolkata,Banglore,CCU → BOM → BLR,21:10,04:40 02 May,7h 30m,1 stop,In-flight meal not included,10844
IndiGo,18/06/2019,,Cochin,DEL → COK,14:20,17:35,3h 15m,non-stop,No info,5000
IndiGo,9/06/2019,Delhi,Cochin,DEL → BLR → COK,17:05,22:15,5h 10m,1 stop,No info,6493
Jet Airways,3/03/2019,Delhi,Cochin,DEL → UDR → BOM → COK,18:20,04:25 05 Mar,34h 5m,2 stops,No info,20747
IndiGo,21/03/2019,Delhi,Cochin,DEL → BLR → COK,05:05,10:05,5h,1 stop,No info,6893
Jet Airways,01/03/2019,,New Delhi,BLR → BOM → DEL,11:40,11:25 02 Mar,23h 45m,1 stop,No info,25735
Air India,18/05/2019,Kolkata,Banglore,CCU → GAU → DEL → BLR,09:50,23:15,13h 25m,2 stops,No info,15957
SpiceJet,6/05/2019,Kolkata,Banglore,CCU → KNU → BLR,11:35,18:50,7h 15m,1 stop,No info,8479
Air India,9/03/2019,Delhi,Cochin,DEL → GOI → BOM → COK,22:00,19:15 10 Mar,21h 15m,,No info,14851
Jet Airways,15/05/2019,Banglore,Delhi,BLR → DEL,06:00,08:45,2h 45m,non-stop,In-flight meal not included,4030
IndiGo,09/03/2019,Banglore,New Delhi,BLR → HYD → DEL,16:55,21:50,4h 55m,1 stop,No info,4259
Jet Airways,9/05/2019,Delhi,Cochin,DEL → BOM → COK,11:30,12:35 10 May,25h 5m,1 stop,In-flight meal not included,12373
IndiGo,15/06/2019,Banglore,Delhi,BLR → DEL,01:30,04:15,2h 45m,non-stop,No info,3419
Air India,03/03/2019,Banglore,New Delhi,BLR → DEL,10:00,12:45,2h 45m,non-stop,No info,8588
Jet Airways,12/06/2019,Kolkata,Banglore,CCU → BOM → BLR,18:55,12:00 13 Jun,17h 5m,1 stop,In-flight meal not included,8529
SpiceJet,27/05/2019,Chennai,Kolkata,MAA → CCU,09:45,12:00,2h 15m,non-stop,No info,3597
