Airline,Date_of_Journey,Source,Destination,Route,Dep_Time,Arrival_Time,Duration,Total_Stops,Additional_Info,Price
IndiGo,15/05/2019,Kolkata,Banglore,CCU → MAA → BLR,17:35,22:15,4h 40m,1 stop,No info,5386
Multiple carriers,18/05/2019,Delhi,Cochin,DEL → BOM → COK,06:00,21:00,15h,1 stop,No info,7670
IndiGo,27/04/2019,Banglore,Delhi,BLR → DEL,18:55,21:50,2h 55m,non-stop,No info,4823
Jet Airways,6/06/2019,Delhi,Cochin,DEL → JAI → BOM → COK,05:30,04:25 07 Jun,22h 55m,2 stops,In-flight meal not included,10368
Jet Airways,18/05/2019,Delhi,Cochin,DEL → AMD → BOM → COK,23:05,04:25 20 May,29h 20m,2 stops,No info,15129
Air India,1/03/2019,Delhi,Cochin,DEL → BOM → COK,23:00,19:15 02 Mar,20h 15m,1 stop,No info,27430
Jet Airways,9/05/2019,Delhi,Cochin,DEL → BOM → COK,19:45,04:25 10 May,8h 40m,1 stop,In-flight meal not included,12373
Air India,27/03/2019,Delhi,Cochin,DEL → HYD → BOM → COK,17:15,07:40 28 Mar,14h 25m,2 stops,No info,8367
Multiple carriers,15/06/2019,Delhi,Cochin,DEL → HYD → COK,09:45,22:30,12h 45m,1 stop,No info,9646
Jet Airways,24/03/2019,Kolkata,Banglore,CCU → BOM → BLR,16:55,09:15 25 Mar,16h 20m,1 stop,In-flight meal not included,11134
Jet Airways,12/06/2019,Delhi,Cochin,DEL → BOM → COK,02:15,12:35,10h 20m,1 stop,In-flight meal not included,-34
Jet Airways,06/03/2019,Banglore,New Delhi,BLR → BOM → DEL,08:00,19:10,11h 10m,1 stop,No info,16736
Jet Airways,1/05/2019,Kolkata,Banglore,CCU → BOM → BLR,08:25,19:50,11h 25m,1 stop,No info,14781
Jet Airways,9/03/2019,Delhi,Cochin,DEL → DED → BOM → COK,15:55,04:25 10 Mar,12h 30m,2 stops,No info,19172
IndiGo,3/05/2019,Banglore,Delhi,BLR → DEL,16:55,19:55,3h,non-stop,No info,4823
IndiGo,24/03/2019,Banglore,New Delhi,BLR → DEL,16:55,19:45,2h 50m,non-stop,No info,7303
IndiGo,15/03/2019,Chennai,Kolkata,MAA → CCU,19:35,21:55,2h 20m,non-stop,No info,6297
IndiGo,09/03/2019,Banglore,New Delhi,BLR → DEL,08:30,11:30,3h,non-stop,No info,7648
IndiGo,1/04/2019,Kolkata,Banglore,CCU → BLR,04:40,07:15,2h 35m,non-stop,No info,4174
Air India,6/05/2019,Kolkata,Banglore,CCU → DEL → AMD → BLR,10:00,05:25 07 May,19h 25m,2 stops,No info,17049
Vistara,15/03/2019,Delhi,Cochin,DEL → COK,14:55,17:50,2h 55m,non-stop,No info,6688
SpiceJet,3/06/2019,Banglore,Delhi,BLR → DEL,09:30,12:20,2h 50m,non-stop,No info,3971
IndiGo,9/03/2019,Kolkata,Banglore,CCU → BLR,05:30,08:20,2h 50m,non-stop,No info,4148
Air India,24/03/2019,Banglore,New Delhi,BLR → DEL,13:20,16:10,2h 50m,non-stop,No info,4441
Multiple carriers,9/04/2019,Delhi,Cochin,DEL → BOM → COK,17:45,01:30 10 Apr,7h 45m,1 stop,No info,8535
Jet Airways,18/05/2019,Kolkata,Banglore,CCU → BOM → BLR,18:55,23:35 19 May,28h 40m,1 stop,In-flight meal not included,10844
Jet Airways,18/06/2019,Banglore,,BLR → DEL,11:10,14:05,2h 55m,non-stop,In-flight meal not included,5769
Jet Airways,6/03/2019,Delhi,,DEL → BOM → COK,11:30,04:25 07 Mar,16h 55m,1 stop,In-flight meal not included,13843
Multiple carriers,24/06/2019,Delhi,Cochin,DEL → BOM → COK,13:00,01:30 25 Jun,12h 30m,1 stop,No info,7198
 SpiceJet ,12/06/2019,Kolkata,Banglore,CCU → BLR,22:20,00:40 13 Jun,2h 20m,non-stop,No info,3873
Jet Airways,24/06/2019,Delhi,Cochin,DEL → BOM → COK,22:50,19:00 25 Jun,20h 10m,1 stop,In-flight meal not included,-74
 Air India ,9/05/2019,Delhi,Cochin,DEL → AMD → BOM → COK,05:00,19:15 10 May,38h 15m,2 stops,No info,9653
Jet Airways,21/05/2019,Delhi,Cochin,DEL → BOM → COK,07:05,04:25 22 May,21h 20m,1 stop,In-flight meal not included,12898
IndiGo,24/03/2019,Banglore,New Delhi,BLR → DEL,21:20,00:15 28 Mar,2h 55m,non-stop,No info,5694
Air India,12/03/2019,Banglore,New Delhi,BLR → BOM → IDR → GWL → DEL,17:25,18:05 13 Mar,24h 40m,3 stops,No info,13387
Jet Airways,15/05/2019,Kolkata,Banglore,CCU → DEL → BLR,20:25,19:10 16 May,22h 45m,1 stop,No info,14151
Air India,12/06/2019,Kolkata,Banglore,CCU → GAU → DEL → BLR,09:50,23:15,13h 25m,2 stops,No info,14960
 Multiple carriers ,9/06/2019,Delhi,Cochin,DEL → BOM → COK,08:00,19:00,11h,1 stop,No info,-23
SpiceJet,27/06/2019,Kolkata,Banglore,CCU → BLR,06:55,09:30,2h 35m,non-stop,No info,3873
Jet Airways,18/05/2019,Kolkata,Banglore,CCU → BOM → BLR,16:30,23:35,7h 5m,1 stop,In-flight meal not included,10844
Multiple carriers,24/06/2019,Delhi,Cochin,DEL → BOM → COK,19:00,01:30 25 Jun,6h 30m,1 stop,No info,6795
Jet Airways,1/04/2019,Kolkata,Banglore,CCU → BOM → BLR,16:30,23:35,7h 5m,1 stop,No info,12681
Jet Airways,6/06/2019,Kolkata,Banglore,CCU → BOM → BLR,18:55,12:00 07 Jun,17h 5m,1 stop,No info,14571
SpiceJet,9/06/2019,Mumbai,Hyderabad,BOM → HYD,13:15,14:45,1h 30m,non-stop,No info,2227
Air Asia,9/04/2019,Banglore,Delhi,BLR → DEL,04:55,07:45,2h 50m,non-stop,No info,4282
SpiceJet,1/04/2019,Kolkata,Banglore,CCU → IXB → BLR,15:55,21:25,5h 30m,1 stop,No info,7646
Jet Airways,24/03/2019,Kolkata,Banglore,CCU → BOM → BLR,16:55,12:00 25 Mar,19h 5m,1 stop,In-flight meal not included,11134
Air Asia,27/06/2019,Delhi,Cochin,DEL → BLR → COK,20:45,07:10 28 Jun,10h 25m,1 stop,No info,6451
GoAir,01/03/2019,Banglore,New Delhi,BLR → DEL,07:45,10:40,2h 55m,non-stop,No info,13663
Air India,27/06/2019,Delhi,Cochin,DEL → HYD → BOM → COK,17:15,07:40 28 Jun,14h 25m,2 stops,No info,13039
Multiple carriers,27/03/2019,Delhi,Cochin,DEL → BOM → COK,08:00,18:50,10h 50m,1 stop,No info,11667
Jet Airways,3/06/2019,Banglore,Delhi,BLR → DEL,15:15,18:10,2h 55m,non-stop,No info,8016
IndiGo,9/06/2019,Delhi,Cochin,DEL → HYD → COK,07:35,22:30,14h 55m,1 stop,No info,6442
Jet Airways,6/06/2019,Delhi,Cochin,DEL → BDQ → BOM → COK,18:25,04:25 07 Jun,10h,2 stops,In-flight meal not included,12142
 Air India ,3/03/2019,Mumbai,Hyderabad,BOM → HYD,06:20,07:40,1h 20m,non-stop,No info,4937
Vistara,12/06/2019,Kolkata,Banglore,CCU → DEL → BLR,20:20,09:05 13 Jun,12h 45m,1 stop,No info,7927
Multiple carriers,12/06/2019,Delhi,Cochin,DEL → BOM → COK,07:00,19:00,12h,1 stop,No info,12192
IndiGo,18/03/2019,Chennai,Kolkata,MAA → CCU,11:35,14:00,2h 25m,non-stop,No info,3858
Jet Airways,21/04/2019,Banglore,Delhi,BLR → DEL,06:00,08:45,2h 45m,non-stop,In-flight meal not included,4544
Multiple carriers,27/03/2019,Delhi,Cochin,DEL → BOM → COK,09:00,15:30,6h 30m,1 stop,No info,6673
Jet Airways,12/06/2019,Kolkata,Banglore,CCU → BOM → BLR,21:10,10:05 13 Jun,12h 55m,1 stop,In-flight meal not included,8529
 Multiple carriers ,15/05/2019,Delhi,Cochin,DEL → BOM → COK,11:30,21:00,9h 30m,1 stop,No info,13727
Jet Airways,3/06/2019,Delhi,Cochin,DEL → BOM → COK,22:50,12:35 04 Jun,13h 45m,1 stop,No info,14714
IndiGo,21/03/2019,Kolkata,Banglore,CCU → BLR,15:10,17:45,2h 35m,non-stop,No info,4148
IndiGo,3/03/2019,Delhi,Cochin,DEL → HYD → MAA → COK,04:55,21:20,16h 25m,2 stops,No info,8899
Multiple carriers,6/03/2019,Delhi,Cochin,DEL → BOM → COK,16:00,01:35 07 Mar,9h 35m,1 stop,In-flight meal not included,15136
Multiple carriers,27/05/2019,Delhi,Cochin,DEL → BOM → COK,06:00,21:00,15h,1 stop,No info,8475
Jet Airways,18/05/2019,Delhi,Cochin,DEL → BOM → COK,10:00,12:35 19 May,26h 35m,1 stop,In-flight meal not included,12373
Jet Airways,24/03/2019,Kolkata,Banglore,CCU → BOM → BLR,19:45,23:25 25 Mar,27h 40m,1 stop,No info,13759
Jet Airways,6/06/2019,Kolkata,Banglore,CCU → DEL → BLR,17:00,18:00 07 Jun,25h,1 stop,In-flight meal not included,10539
IndiGo,1/04/2019,Kolkata,Banglore,CCU → PNQ → BLR,21:00,02:15 02 Apr,5h 15m,1 stop,No info,5930
Jet Airways,21/05/2019,Delhi,Cochin,DEL → BOM → COK,20:55,04:25 22 May,7h 30m,1 stop,In-flight meal not included,12898
Jet Airways,9/03/2019,Delhi,Cochin,DEL → BOM → COK,02:15,04:25 10 Mar,26h 10m,1 stop,No info,15029
Multiple carriers,27/03/2019,Delhi,Cochin,DEL → HYD → COK,13:05,22:20,9h 15m,1 stop,No info,6076
SpiceJet,6/03/2019,Kolkata,Banglore,CCU → BLR,06:55,09:35,2h 40m,non-stop,No info,3850
Vistara,21/05/2019,Kolkata,Banglore,CCU → DEL → BLR,07:10,22:40,15h 30m,1 stop,No info,8452
SpiceJet,9/06/2019,Chennai,Kolkata,MAA → CCU,08:20,10:35,2h 15m,non-stop,No check-in baggage included,3543
Jet Airways,15/05/2019,Kolkata,Banglore,CCU → BOM → BLR,06:30,19:50,13h 20m,1 stop,No info,14781
Air India,1/05/2019,Kolkata,Banglore,CCU → GAU → DEL → BLR,09:50,08:55 02 May,23h 5m,2 stops,No info,13227
Jet Airways,27/06/2019,Banglore,Delhi,BLR → DEL,17:45,20:45,3h,non-stop,No info,8016
Jet Airways,15/05/2019,Kolkata,Banglore,CCU → DEL → BLR,17:00,14:25 16 May,21h 25m,1 stop,No info,11467
Multiple carriers,21/05/2019,Delhi,Cochin,DEL → BOM → COK,10:00,01:30 22 May,15h 30m,1 stop,No info,7888
Jet Airways,15/05/2019,Delhi,Cochin,DEL → BOM → COK,02:15,12:35,10h 20m,1 stop,In-flight meal not included,12373
Multiple carriers,27/06/2019,Delhi,,DEL → BOM → COK,15:15,01:30 28 Jun,10h 15m,1 stop,In-flight meal not included,5797
Jet Airways,6/06/2019,Delhi,,DEL → BOM → COK,02:15,12:35,10h 20m,1 stop,In-flight meal not included,10262
Multiple carriers,27/03/2019,Delhi,Cochin,DEL → BOM → COK,06:00,13:20,7h 20m,1 stop,No info,7845
Multiple carriers,27/06/2019,Delhi,Cochin,DEL → BOM → COK,08:30,19:00,10h 30m,1 stop,No info,11200
Jet Airways,3/06/2019,Delhi,Cochin,DEL → BOM → COK,18:15,19:00 04 Jun,24h 45m,1 stop,In-flight meal not included,10262
IndiGo,24/03/2019,Banglore,,BLR → DEL,18:55,21:45,2h 50m,non-stop,No info,7303
SpiceJet,18/05/2019,Delhi,,DEL → MAA → COK,15:45,22:05,6h 20m,1 stop,No info,7317
SpiceJet,15/03/2019,Mumbai,Hyderabad,BOM → HYD,13:10,14:30,1h 20m,non-stop,No check-in baggage included,2385
Jet Airways,06/03/2019,Banglore,,BLR → BOM → DEL,11:40,08:15 07 Mar,20h 35m,1 stop,No info,16736
Multiple carriers,27/05/2019,Delhi,Cochin,DEL → BOM → COK,09:00,19:15,10h 15m,1 stop,No info,15898
Air India,6/06/2019,Kolkata,Banglore,CCU → BBI → BLR,12:00,13:15 07 Jun,25h 15m,1 stop,No info,7662
IndiGo,1/06/2019,Mumbai,Hyderabad,BOM → HYD,21:20,22:50,1h 30m,non-stop,No info,2227
IndiGo,24/06/2019,Chennai,Kolkata,MAA → CCU,13:15,15:35,2h 20m,non-stop,No info,3597
Jet Airways,12/06/2019,Kolkata,Banglore,CCU → DEL → BLR,09:35,18:00,8h 25m,1 stop,No info,12692
Jet Airways,12/03/2019,Banglore,New Delhi,BLR → BOM → DEL,22:55,10:25 13 Mar,11h 30m,1 stop,No info,13817
GoAir,03/03/2019,Banglore,,BLR → DEL,07:45,10:40,2h 55m,non-stop,No info,7222
Jet Airways,24/03/2019,Kolkata,Banglore,CCU → BOM → BLR,16:55,18:10 25 Mar,25h 15m,1 stop,In-flight meal not included,11134
Jet Airways,21/05/2019,Kolkata,Banglore,CCU → BOM → BLR,14:05,19:50,5h 45m,1 stop,In-flight meal not included,10844
Jet Airways,6/04/2019,Banglore,Delhi,BLR → DEL,08:20,11:20,3h,non-stop,In-flight meal not included,4544
Jet Airways,27/05/2019,Delhi,Cochin,DEL → BOM → COK,13:00,19:00,6h,1 stop,No info,-46
Jet Airways,21/03/2019,Delhi,Cochin,DEL → BOM → COK,16:00,18:50 22 Mar,26h 50m,1 stop,In-flight meal not included,5963
Jet Airways,24/03/2019,Mumbai,Hyderabad,BOM → HYD,10:20,11:50,1h 30m,non-stop,In-flight meal not included,2759
Multiple carriers,15/06/2019,Delhi,,DEL → BOM → COK,08:45,21:00,12h 15m,1 stop,No info,7005
Jet Airways,6/04/2019,Banglore,Delhi,BLR → DEL,06:00,08:45,2h 45m,non-stop,In-flight meal not included,4544
 Multiple carriers ,21/05/2019,Delhi,Cochin,DEL → BOM → COK,15:00,01:30 22 May,10h 30m,1 stop,No info,14067
Air India,6/03/2019,Delhi,Cochin,DEL → AMD → BOM → COK,05:00,19:15 07 Mar,38h 15m,2 stops,No info,10283
Jet Airways,21/03/2019,Delhi,,DEL → BOM → COK,02:15,04:25 22 Mar,26h 10m,1 stop,No info,12719
Jet Airways,6/06/2019,Delhi,Cochin,DEL → NAG → BOM → COK,14:35,04:25 07 Jun,13h 50m,2 stops,No info,13376
IndiGo,09/03/2019,Banglore,New Delhi,BLR → HYD → DEL,07:30,12:20,4h 50m,1 stop,No info,5694
Jet Airways,01/03/2019,Banglore,New Delhi,BLR → BOM → DEL,11:40,00:45 02 Mar,13h 5m,1 stop,No info,26890
Multiple carriers,3/03/2019,Delhi,Cochin,DEL → BOM → COK,04:00,15:30,11h 30m,1 stop,No info,14973
IndiGo,27/06/2019,Delhi,Cochin,DEL → MAA → COK,02:00,07:25,5h 25m,1 stop,No info,-7
IndiGo,1/04/2019,Banglore,Delhi,BLR → DEL,00:30,03:25,2h 55m,non-stop,No info,4423
Jet Airways,24/06/2019,Delhi,,DEL → BOM → COK,02:15,12:35,10h 20m,1 stop,No info,18371
Jet Airways,24/06/2019,Delhi,Cochin,DEL → JAI → BOM → COK,09:40,12:35 25 Jun,26h 55m,2 stops,No info,13014
Jet Airways,6/06/2019,Kolkata,Banglore,CCU → DEL → BLR,17:00,09:45 07 Jun,16h 45m,1 stop,No info,12692
SpiceJet,24/04/2019,Kolkata,Banglore,CCU → BLR,22:20,00:40 25 Apr,2h 20m,non-stop,No check-in baggage included,3841
IndiGo,12/05/2019,Mumbai,Hyderabad,BOM → HYD,20:05,21:40,1h 35m,non-stop,No info,2227
Air India,12/06/2019,Kolkata,Banglore,CCU → MAA → BLR,14:35,14:35 13 Jun,24h,1 stop,No info,6528
Jet Airways,9/04/2019,Banglore,,BLR → DEL,06:00,08:45,2h 45m,non-stop,No info,7229
Jet Airways,15/05/2019,Kolkata,Banglore,CCU → DEL → BLR,17:00,21:05 16 May,28h 5m,1 stop,No info,14151
Multiple carriers,1/03/2019,Delhi,Cochin,DEL → BOM → COK,19:00,01:35 02 Mar,6h 35m,1 stop,No info,-91
Vistara,9/06/2019,Kolkata,Banglore,CCU → DEL → BLR,17:00,22:55,5h 55m,1 stop,No info,9187
Jet Airways,6/05/2019,Kolkata,Banglore,CCU → BOM → BLR,08:25,18:15,9h 50m,1 stop,In-flight meal not included,10844
IndiGo,21/03/2019,Mumbai,Hyderabad,BOM → HYD,06:20,07:45,1h 25m,non-stop,No info,4049
GoAir,9/05/2019,Delhi,,DEL → BOM → COK,14:25,19:35,5h 10m,1 stop,No info,10188
Air India,6/05/2019,Kolkata,Banglore,CCU → IXR → DEL → BLR,05:50,12:00 07 May,30h 10m,2 stops,No info,11883
Jet Airways,12/06/2019,Delhi,Cochin,DEL → JAI → BOM → COK,09:40,12:35 13 Jun,26h 55m,2 stops,In-flight meal not included,10368
IndiGo,24/03/2019,Banglore,New Delhi,BLR → DEL,23:30,02:20 28 Mar,2h 50m,non-stop,No info,5694
IndiGo,21/06/2019,Mumbai,Hyderabad,BOM → HYD,02:35,04:05,1h 30m,non-stop,No info,2754
Multiple carriers,18/05/2019,Delhi,Cochin,DEL → BOM → COK,10:20,21:00,10h 40m,1 stop,No info,7670
Jet Airways,9/04/2019,Banglore,Delhi,BLR → DEL,18:55,22:00,3h 5m,non-stop,No info,7229
IndiGo,1/06/2019,Mumbai,Hyderabad,BOM → HYD,06:25,07:55,1h 30m,non-stop,No info,4049
Jet Airways,18/05/2019,Delhi,Cochin,DEL → BOM → COK,07:05,04:25 19 May,21h 20m,1 stop,In-flight meal not included,12373
Jet Airways,9/06/2019,Delhi,Cochin,DEL → LKO → BOM → COK,11:45,04:25 10 Jun,16h 40m,2 stops,No info,13882
Jet Airways,24/03/2019,Kolkata,Banglore,CCU → BOM → BLR,13:55,16:20 25 Mar,26h 25m,1 stop,In-flight meal not included,10031
Jet Airways,01/03/2019,Banglore,New Delhi,BLR → BOM → DEL,22:50,10:25 02 Mar,11h 35m,1 stop,1 Long layover,31825
Jet Airways,9/05/2019,Delhi,Cochin,DEL → AMD → BOM → COK,19:10,19:00 10 May,23h 50m,2 stops,No info,15129
Multiple carriers,6/03/2019,Delhi,Cochin,DEL → BOM → COK,07:05,13:20,6h 15m,1 stop,No info,17267
IndiGo,12/05/2019,Chennai,Kolkata,MAA → CCU,07:55,10:15,2h 20m,non-stop,No info,3850
Multiple carriers,15/05/2019,Delhi,Cochin,DEL → BOM → COK,08:00,21:00,13h,1 stop,No info,13937
SpiceJet,21/05/2019,Delhi,Cochin,DEL → MAA → COK,06:05,11:20,5h 15m,1 stop,No info,6297
Jet Airways,24/03/2019,Kolkata,Banglore,CCU → BOM → BLR,21:10,22:35 25 Mar,25h 25m,1 stop,In-flight meal not included,10031
Jet Airways,24/05/2019,Kolkata,Banglore,CCU → BOM → BLR,21:10,09:20 25 May,12h 10m,1 stop,In-flight meal not included,9663
SpiceJet,24/06/2019,Delhi,,DEL → PNQ → COK,08:45,13:15,4h 30m,1 stop,No check-in baggage included,4760
Air India,27/03/2019,Delhi,Cochin,DEL → MAA → COK,20:40,09:25 28 Mar,12h 45m,1 stop,No info,-82
Multiple carriers,27/06/2019,Delhi,,DEL → BOM → COK,10:20,19:00,8h 40m,1 stop,No info,11264
Vistara,1/05/2019,Chennai,Kolkata,MAA → CCU,17:45,20:05,2h 20m,non-stop,No info,11982
Vistara,1/05/2019,Kolkata,Banglore,CCU → DEL → BLR,17:00,09:05 02 May,16h 5m,1 stop,No info,8452
Air India,09/03/2019,Banglore,,BLR → DEL,17:00,19:50,2h 50m,non-stop,No info,9481
Jet Airways,27/03/2019,Delhi,Cochin,DEL → MAA → BOM → COK,05:10,19:45 28 Mar,38h 35m,2 stops,In-flight meal not included,8938
SpiceJet,21/06/2019,Kolkata,Banglore,CCU → BLR,09:00,11:25,2h 25m,non-stop,No info,3873
Multiple carriers,24/06/2019,Delhi,Cochin,DEL → BOM → COK,08:45,19:15,10h 30m,1 stop,No info,9001
Air India,6/06/2019,Delhi,Cochin,DEL → HYD → MAA → COK,13:15,09:25 07 Jun,20h 10m,2 stops,No info,10939
Air India,24/03/2019,Banglore,New Delhi,BLR → DEL,06:10,08:55,2h 45m,non-stop,No info,4441
IndiGo,1/06/2019,Delhi,Cochin,DEL → BOM → COK,09:15,21:00,11h 45m,1 stop,No info,7258
SpiceJet,9/05/2019,Banglore,Delhi,BLR → DEL,21:10,00:05 10 May,2h 55m,non-stop,No check-in baggage included,4319
Jet Airways,6/06/2019,Delhi,,DEL → NAG → BOM → COK,14:35,04:25 07 Jun,13h 50m,2 stops,No info,13376
IndiGo,27/04/2019,Delhi,Cochin,DEL → COK,14:20,17:35,3h 15m,non-stop,No info,5021
Air India,24/06/2019,Delhi,Cochin,DEL → GOI → BOM → COK,10:55,07:40 25 Jun,20h 45m,2 stops,No info,11753
